"","Resp1","Resp2","HR1","HR2","Resp1S","Resp2S","HR1S","HR2S"
"1",1.44245328267116,-0.0342466817438642,-0.1070131701242,-0.185952132082013,1.44245328267116,-0.0342466817438642,-0.1070131701242,-0.185952132082013
"2",1.36988243276759,-0.0342466817438642,-0.1070131701242,-0.185952132082013,1.36988243276759,-0.0342466817438642,-0.1070131701242,-0.185952132082013
"3",1.27610128956759,-0.0342466817438642,-0.1070131701242,-0.933246520284236,1.27610128956759,-0.0342466817438642,-0.1070131701242,-0.933246520284236
"4",1.1686871071362,-0.0342466817438642,-0.1070131701242,-1.80029871952055,1.1686871071362,-0.0342466817438642,-0.1070131701242,-1.80029871952055
"5",1.04718385984421,-0.0342466817438642,-0.1070131701242,-1.7785995430207,1.04718385984421,-0.0342466817438642,-0.1070131701242,-1.7785995430207
"6",0.921141627080129,-2.17893993025631,-0.1070131701242,-1.7785995430207,0.921141627080129,-2.17893993025631,-0.1070131701242,-1.7785995430207
"7",0.830959057000438,-1.95476249863635,-0.1070131701242,-1.7785995430207,0.830959057000438,-1.95476249863635,-0.1070131701242,-1.7785995430207
"8",0.791650927470357,-1.17615579089971,-0.1070131701242,0.0306244180354038,0.791650927470357,-1.17615579089971,-0.1070131701242,0.0306244180354038
"9",0.791274970049839,-0.380783031471168,-0.312504351057659,1.13950361997302,0.791274970049839,-0.380783031471168,-0.312504351057659,1.13950361997302
"10",0.802655031694067,0.221869446590273,-0.502188518073162,1.13950361997302,0.802655031694067,0.221869446590273,-0.502188518073162,1.13950361997302
"11",0.826795164281388,0.516173443934997,-0.502188518073162,1.13950361997302,0.826795164281388,0.516173443934997,-0.502188518073162,1.13950361997302
"12",0.882277590768027,0.54898643517906,-0.502188518073162,1.13950361997302,0.882277590768027,0.54898643517906,-0.502188518073162,1.13950361997302
"13",0.952579726136284,0.451308394795338,-0.502188518073162,1.13950361997302,0.952579726136284,0.451308394795338,-0.502188518073162,1.13950361997302
"14",1.03838621409721,0.31737561945681,-0.502188518073162,1.13950361997302,1.03838621409721,0.31737561945681,-0.502188518073162,1.13950361997302
"15",1.21606880986512,0.196171022666705,-0.502188518073162,1.13950361997302,1.21606880986512,0.196171022666705,-0.502188518073162,1.13950361997302
"16",1.41229229748369,0.100332761049574,-0.502188518073162,1.13950361997302,1.41229229748369,0.100332761049574,-0.502188518073162,1.13950361997302
"17",1.53656196191276,0.00590897777139778,-0.502188518073162,0.68830183395521,1.53656196191276,0.00590897777139778,-0.502188518073162,0.68830183395521
"18",1.5427163191719,-0.0978944520215183,-0.502188518073162,-1.00907631344512,1.5427163191719,-0.0978944520215183,-0.502188518073162,-1.00907631344512
"19",1.40070281337568,-0.194285604194589,-0.51783645436028,-1.00907631344512,1.40070281337568,-0.194285604194589,-0.51783645436028,-1.00907631344512
"20",1.13036279626542,-0.269497149487843,-0.532280703240695,-1.00907631344512,1.13036279626542,-0.269497149487843,-0.532280703240695,-1.00907631344512
"21",0.751569439345723,-0.339478208355075,-0.532280703240695,-1.00907631344512,0.751569439345723,-0.339478208355075,-0.532280703240695,-1.00907631344512
"22",0.27450299166488,-0.417210367516188,-0.532280703240695,-1.00907631344512,0.27450299166488,-0.417210367516188,-0.532280703240695,-1.00907631344512
"23",-0.196346150964244,-0.4846282824728,-0.532280703240695,-1.00907631344512,-0.196346150964244,-0.4846282824728,-0.532280703240695,-1.00907631344512
"24",-0.531805313631205,-0.533308878255367,-0.532280703240695,0.319475460795062,-0.531805313631205,-0.533308878255367,-0.532280703240695,0.319475460795062
"25",-0.685053789868424,-0.558680884100717,-0.532280703240695,0.776538425166272,-0.685053789868424,-0.558680884100717,-0.532280703240695,0.776538425166272
"26",-0.723989766514903,-0.568808350534071,-0.532280703240695,1.2292731511797,-0.723989766514903,-0.568808350534071,-0.532280703240695,1.2292731511797
"27",-0.744875290705659,-0.553953315430394,-0.532280703240695,1.2292731511797,-0.744875290705659,-0.553953315430394,-0.532280703240695,1.2292731511797
"28",-0.783721341934167,-0.563422275034939,-0.532280703240695,1.2292731511797,-0.783721341934167,-0.563422275034939,-0.532280703240695,1.2292731511797
"29",-0.816691977632743,-0.592410397766359,-0.661393411019416,1.2292731511797,-0.816691977632743,-0.592410397766359,-0.661393411019416,1.2292731511797
"30",-0.839933547774338,-0.617991509655303,-0.780574372045929,1.2292731511797,-0.839933547774338,-0.617991509655303,-0.780574372045929,1.2292731511797
"31",-0.87678498405885,-0.643267114070387,-0.780574372045929,1.2292731511797,-0.87678498405885,-0.643267114070387,-0.780574372045929,1.2292731511797
"32",-0.915585034977396,-0.679528228531601,-0.780574372045929,1.2292731511797,-0.915585034977396,-0.679528228531601,-0.780574372045929,1.2292731511797
"33",-0.915686028139118,-0.679917378422897,-0.780574372045929,0.841561913282121,-0.915686028139118,-0.679917378422897,-0.780574372045929,0.841561913282121
"34",-0.835579082342588,-0.674918680729951,-0.780574372045929,-0.811312311439119,-0.835579082342588,-0.674918680729951,-0.780574372045929,-0.811312311439119
